DB,DB ID,Disease,MIM Number,Gene Symbol,Gene ID,GO-BP ID Count,GO-BP ID
OMIM,233420,46XY sex reversal 7,605423,DHH,50846,13,GO:0016540 | GO:0050810 | GO:0001708 | GO:0033327 | GO:0007267 | GO:0010468 | GO:0007286 | GO:0007224 | GO:0001649 | GO:0030238 | GO:0043627 | GO:0042552 | GO:0032355
OMIM,614279,"46XY sex reversal 8 | {46XY sex reversal 8, modifier of}",600450 | 600451,AKR1C2 | AKR1C4,1109 | 1646,16,GO:0071395 | GO:0022900 | GO:0051897 | GO:0008284 | GO:0030855 | GO:0006693 | GO:0044597 | GO:0007186 | GO:0042448 | GO:0071799 | GO:0044598 | GO:0015721 | GO:0008209 | GO:0006699 | GO:0007586 | GO:0001523
OMIM,616067,46XY sex reversal 9,603693,ZFPM2,23414,18,GO:0001701 | GO:0045892 | GO:0030324 | GO:0060412 | GO:0045944 | GO:0007507 | GO:0060548 | GO:0045599 | GO:0003148 | GO:2000195 | GO:0000122 | GO:0060045 | GO:0001570 | GO:2000020 | GO:0048568 | GO:0007506 | GO:0003221 | GO:0007596
OMIM,274270,Dihydropyrimidine dehydrogenase deficiency | 5-fluorouracil toxicity,612779,DPYD,1806,6,GO:0006214 | GO:0006212 | GO:0006145 | GO:0055114 | GO:0006210 | GO:0019483
OMIM,260005,5-oxoprolinase deficiency,614243,OPLAH,26873,1,GO:0006750
OMIM,613080,?46XY sex reversal 5,602770,CBX2,84733,4,GO:0030154 | GO:0045137 | GO:0000122 | GO:0006325
OMIM,261990,"?Abnormal hair, joint laxity, and developmental delay",618455,HEPHL1,341208,4,GO:0006826 | GO:0055114 | GO:0006825 | GO:0006879
OMIM,302905,?Abruzzo-Erickson syndrome,300307,TBX22,50945,7,GO:0045892 | GO:0001708 | GO:0045944 | GO:0001947 | GO:0000122 | GO:0007275 | GO:0006355
OMIM,613737,"?Acne inversa, familial, 3",104311,PSEN1,5663,74,GO:0048854 | GO:0050852 | GO:0030326 | GO:1904797 | GO:0001756 | GO:0048167 | GO:0003407 | GO:0021904 | GO:0000122 | GO:0006509 | GO:0032436 | GO:0035333 | GO:0098609 | GO:0070588 | GO:0002244 | GO:0060075 | GO:0050820 | GO:0015871 | GO:0048538 | GO:0001921 | GO:0006839 | GO:0009791 | GO:0043524 | GO:0042307 | GO:0001947 | GO:0060828 | GO:0000045 | GO:0051444 | GO:0048666 | GO:1990535 | GO:0050673 | GO:0007175 | GO:0045821 | GO:0032092 | GO:0060999 | GO:1905908 | GO:0001568 | GO:0043589 | GO:0048013 | GO:0002286 | GO:0050771 | GO:0000186 | GO:0021549 | GO:0051966 | GO:0051402 | GO:0006486 | GO:0016080 | GO:0002038 | GO:0001764 | GO:0043065 | GO:0021795 | GO:2001234 | GO:1904646 | GO:0090647 | GO:0006979 | GO:0007613 | GO:0043312 | GO:0050808 | GO:0034205 | GO:0010629 | GO:0001708 | GO:0002265 | GO:0045893 | GO:0048705 | GO:0043011 | GO:0006974 | GO:0051563 | GO:0035556 | GO:0042535 | GO:0007220 | GO:2000059 | GO:0016485 | GO:0015031 | GO:0021870
OMIM,201250,"?Acromesomelic dysplasia, Hunter-Thompson type",601146,GDF5,8200,20,GO:0050680 | GO:0060395 | GO:0060390 | GO:0040014 | GO:0032332 | GO:0030326 | GO:0007267 | GO:0043524 | GO:0035136 | GO:0030513 | GO:0043932 | GO:0009612 | GO:0007179 | GO:0010862 | GO:0030509 | GO:0032331 | GO:0060591 | GO:2001054 | GO:0045666 | GO:0035137
OMIM,604348,"?Advanced sleep phase syndrome, familial, 1",603426,PER2,8864,23,GO:0045892 | GO:0006094 | GO:0000122 | GO:0032922 | GO:0050796 | GO:0019249 | GO:0019229 | GO:0050767 | GO:0051726 | GO:0097167 | GO:0002931 | GO:1903508 | GO:0031397 | GO:0042754 | GO:0006631 | GO:0070345 | GO:0070932 | GO:0043153 | GO:0050872 | GO:0051946 | GO:2000678 | GO:0120162 | GO:0005978
OMIM,616882,"?Advanced sleep phase syndrome, familial, 3",603427,PER3,8863,5,GO:0050821 | GO:0000122 | GO:0032922 | GO:0045187 | GO:0043153
OMIM,613502,?Agammaglobulinemia 4,604515,BLNK,29760,6,GO:0050853 | GO:0006959 | GO:0006954 | GO:0035556 | GO:0007169 | GO:0030183
OMIM,613506,?Agammaglobulinemia 5,608360,LRRC8A,56262,7,GO:0098656 | GO:0034214 | GO:0006970 | GO:0015698 | GO:0006470 | GO:0002329 | GO:0006884
OMIM,615214,"?Agammaglobulinemia 7, autosomal recessive",171833,PIK3R1,5295,45,GO:0043066 | GO:0050852 | GO:0060396 | GO:0033120 | GO:0051897 | GO:0034976 | GO:0030168 | GO:0016032 | GO:0007173 | GO:0038095 | GO:0030183 | GO:0001953 | GO:0008630 | GO:0042307 | GO:0045944 | GO:0048009 | GO:0006606 | GO:0014068 | GO:0051492 | GO:0048010 | GO:0006468 | GO:0038096 | GO:0006661 | GO:0050821 | GO:0032869 | GO:0031295 | GO:0032760 | GO:0050900 | GO:1900103 | GO:0046854 | GO:1903078 | GO:0007186 | GO:0030335 | GO:0043551 | GO:0014065 | GO:0001678 | GO:0046326 | GO:0007411 | GO:0045671 | GO:0019221 | GO:0046626 | GO:0008625 | GO:0038128 | GO:0008286 | GO:0034644
OMIM,607131,?Al-Gazali-Bakalinova syndrome,611254,KIF7,374654,3,GO:0045880 | GO:0045879 | GO:0007018
OMIM,612079,"?Alopecia, neurologic defects, and endocrinopathy syndrome",612074,RBM28,55131,2,GO:0008380 | GO:0006397
OMIM,203650,?Alopecia-mental retardation syndrome 1,138680,AHSG,197,12,GO:0006907 | GO:0043312 | GO:0001501 | GO:0043687 | GO:0050766 | GO:0002576 | GO:0030502 | GO:0033673 | GO:0006953 | GO:0050727 | GO:0046627 | GO:0010951
OMIM,617607,"?Amelogenesis imperfecta, type IIIB",610912,AMTN,401138,5,GO:0070175 | GO:0042475 | GO:0043687 | GO:0007155 | GO:0031214
OMIM,105200,"Amyloidosis, renal | ?Amyloidosis, familial visceral | Amyloidosis, familial visceral | Amyloidosis, 3 or more types",109700 | 107680 | 134820 | 153450,B2M | APOA1 | FGA | LYZ,567 | 2243 | 335 | 4069,118,GO:0034375 | GO:0031100 | GO:0033077 | GO:0010903 | GO:1900026 | GO:0070527 | GO:0001895 | GO:1904437 | GO:0007611 | GO:2000352 | GO:0002726 | GO:0071316 | GO:0070508 | GO:0045723 | GO:0050919 | GO:0033344 | GO:0034380 | GO:0043534 | GO:0006656 | GO:0043687 | GO:0034384 | GO:0051006 | GO:0050830 | GO:1902042 | GO:0035025 | GO:0050713 | GO:0042493 | GO:0006826 | GO:0043152 | GO:0042158 | GO:0030198 | GO:1900121 | GO:0032489 | GO:0002576 | GO:0042026 | GO:0010977 | GO:1990000 | GO:0031639 | GO:0060333 | GO:0072377 | GO:0050821 | GO:0090277 | GO:0050728 | GO:0006954 | GO:0034115 | GO:0002237 | GO:0034116 | GO:0045921 | GO:0051258 | GO:0071283 | GO:0060354 | GO:0010873 | GO:0070328 | GO:0007584 | GO:0060192 | GO:0019835 | GO:0014012 | GO:0001935 | GO:0019915 | GO:0034371 | GO:0051496 | GO:0051289 | GO:0050829 | GO:0008211 | GO:0018158 | GO:1904434 | GO:0002481 | GO:0051592 | GO:0043691 | GO:0051180 | GO:0007186 | GO:2000978 | GO:0018206 | GO:0043312 | GO:0010875 | GO:0002224 | GO:2000774 | GO:0034372 | GO:0120009 | GO:0045907 | GO:0006898 | GO:0030325 | GO:0048260 | GO:0043627 | GO:0034756 | GO:0019885 | GO:0002480 | GO:0072378 | GO:0006695 | GO:0055072 | GO:0046686 | GO:0030300 | GO:0050714 | GO:0002250 | GO:0001916 | GO:0042730 | GO:0010804 | GO:0002479 | GO:0007229 | GO:0055091 | GO:0034378 | GO:0055085 | GO:0031640 | GO:0001523 | GO:0007160 | GO:1902995 | GO:0070374 | GO:0010898 | GO:0045646 | GO:0090647 | GO:0007596 | GO:0045087 | GO:0042632 | GO:0050766 | GO:0050680 | GO:0050690 | GO:0002719 | GO:0033700
OMIM,613955,"?Amyloidosis, primary localized cutaneous, 2",609510,IL31RA,133396,16,GO:0043066 | GO:0035745 | GO:0045893 | GO:0007259 | GO:0030225 | GO:0008284 | GO:0002438 | GO:0002067 | GO:0007169 | GO:0019221 | GO:0043031 | GO:0098542 | GO:0030224 | GO:0042592 | GO:0000165 | GO:0042531
OMIM,614373,"?Amyotrophic lateral sclerosis 16, juvenile",601978,SIGMAR1,10280,6,GO:0070207 | GO:0007399 | GO:0038003 | GO:0006869 | GO:0036474 | GO:0043523
OMIM,615234,"?Anemia, hypochromic microcytic, with iron overload 2",609671,STEAP3,55240,9,GO:0015677 | GO:0098706 | GO:0033572 | GO:0006915 | GO:0055072 | GO:0055114 | GO:0009306 | GO:0042981 | GO:0007049
OMIM,206500,?Anencephaly,609317,TRIM36,55521,6,GO:0051726 | GO:0000281 | GO:0007051 | GO:0000209 | GO:0007340 | GO:0070507
OMIM,106190,"?Anhidrosis, isolated, with normal sweat glands",600144,ITPR2,3709,8,GO:1903779 | GO:0001666 | GO:0048016 | GO:0071361 | GO:0030168 | GO:0071320 | GO:0050796 | GO:0051209
OMIM,617141,?Aniridia 2,606985,ELP4,26610,4,GO:0002098 | GO:0006368 | GO:0045859 | GO:0006357
OMIM,617142,?Aniridia 3,612298,TRIM44,54765,7,GO:0050821 | GO:0061944 | GO:0045893 | GO:0016567 | GO:1901224 | GO:0001961 | GO:0002230
OMIM,107600,"?Aplasia cutis congenita, nonsyndromic",611448,BMS1,9790,2,GO:0000479 | GO:0000462
OMIM,208100,"?Arthrogryposis multiplex congenita, neurogenic type",617946,ERGIC1,57222,2,GO:0006888 | GO:0006890
OMIM,614262,"?Arthrogryposis, Perthes disease, and upward gaze palsy",609798,NEK9,91754,3,GO:0006468 | GO:0007077 | GO:0051301
OMIM,615553,"?Arthrogryposis, mental retardation, and seizures",605632,SLC35A3,23443,4,GO:1990569 | GO:0006047 | GO:0072334 | GO:0008643
OMIM,616192,"?Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus",601184,DNAJC3,5611,11,GO:0043312 | GO:0043066 | GO:0043687 | GO:0006469 | GO:0034975 | GO:0051603 | GO:0036498 | GO:0070417 | GO:1903912 | GO:0036494 | GO:0051607
OMIM,615919,?Ataxia-telangiectasia-like disorder 2,176740,PCNA,5111,32,GO:0007507 | GO:0000122 | GO:1902990 | GO:0046686 | GO:0016032 | GO:1900264 | GO:0006272 | GO:0044849 | GO:0071466 | GO:0045739 | GO:0006298 | GO:1902065 | GO:0006283 | GO:0033683 | GO:0000083 | GO:0032355 | GO:0097421 | GO:0016567 | GO:0071548 | GO:0032077 | GO:0006977 | GO:0045740 | GO:0006287 | GO:0042276 | GO:0006296 | GO:0070301 | GO:0030855 | GO:0031297 | GO:0042769 | GO:0070987 | GO:0034644 | GO:0006297
OMIM,615770,?Atrial fibrillation 15,606694,NUP155,9631,13,GO:0006406 | GO:0006998 | GO:0060964 | GO:0086014 | GO:0000972 | GO:1900034 | GO:0075733 | GO:0016925 | GO:0006409 | GO:0006606 | GO:0006110 | GO:0036228 | GO:0019083
OMIM,614050,"?Atrial fibrillation, familial, 12",601439,ABCC9,10060,6,GO:1990573 | GO:1903779 | GO:0150104 | GO:0061337 | GO:0051607 | GO:0033198
OMIM,617280,"?Atrial fibrillation, familial, 18",160770,MYL4,4635,4,GO:0002026 | GO:0032781 | GO:0030049 | GO:0060048
OMIM,607271,"?Autoimmune lymphoproliferative syndrome, type IIB",601763,CASP8,841,35,GO:0097264 | GO:1900740 | GO:0042113 | GO:0009409 | GO:0051603 | GO:0060546 | GO:0097194 | GO:0039650 | GO:0030101 | GO:0036462 | GO:0043123 | GO:0097296 | GO:0032731 | GO:0071550 | GO:0043124 | GO:0032355 | GO:0006919 | GO:0034612 | GO:0070423 | GO:0071260 | GO:0030225 | GO:0032025 | GO:0034138 | GO:0042110 | GO:0035666 | GO:0097202 | GO:0032496 | GO:0071407 | GO:0010803 | GO:0006915 | GO:0045471 | GO:0045651 | GO:0060715 | GO:1902042 | GO:1901216
OMIM,617383,"?Avascular necrosis of femoral head, primary, 2",605427,TRPV4,59341,35,GO:0046785 | GO:2000778 | GO:0047484 | GO:0097497 | GO:0034605 | GO:0000122 | GO:0042593 | GO:0032868 | GO:0010759 | GO:0046330 | GO:0043117 | GO:2000340 | GO:0050891 | GO:0050729 | GO:0010977 | GO:0007015 | GO:0071639 | GO:0030103 | GO:0071477 | GO:0006884 | GO:0043622 | GO:0070374 | GO:0042538 | GO:0007231 | GO:0009612 | GO:0071642 | GO:0031532 | GO:0071651 | GO:0031117 | GO:0060351 | GO:1903444 | GO:0097009 | GO:0098703 | GO:0002024 | GO:0007043
OMIM,615988,?Bardet-Biedl syndrome 11,602290,TRIM32,22954,28,GO:0030307 | GO:0070936 | GO:0048147 | GO:0007014 | GO:0009411 | GO:0006511 | GO:0043123 | GO:0061564 | GO:0045732 | GO:0045787 | GO:0046716 | GO:0032897 | GO:1903886 | GO:0001894 | GO:0034612 | GO:1902187 | GO:1903883 | GO:0045444 | GO:1903508 | GO:1902230 | GO:0030335 | GO:0045087 | GO:0032479 | GO:0045862 | GO:0051092 | GO:0051155 | GO:1903265 | GO:0045666
OMIM,615991,"?Bardet-Biedl syndrome 14 | {Bardet-Biedl syndrome 14, modifier of}",609884 | 610142,CEP290 | TMEM67,91147 | 80184,14,GO:0043312 | GO:0090316 | GO:0000086 | GO:0045893 | GO:0060271 | GO:0030916 | GO:0042462 | GO:0010389 | GO:0097711 | GO:0010826 | GO:0030433 | GO:0015031 | GO:0030902 | GO:0048793
OMIM,615992,?Bardet-Biedl syndrome 15,613580,WDPCP,51057,20,GO:0016476 | GO:0072358 | GO:0043010 | GO:0032185 | GO:0010762 | GO:0060271 | GO:0060541 | GO:0001822 | GO:0007224 | GO:0051893 | GO:0055123 | GO:2000114 | GO:0032880 | GO:1900027 | GO:0060021 | GO:0045184 | GO:0043587 | GO:0002093 | GO:0090521 | GO:0042733
OMIM,615995,?Bardet-Biedl syndrome 18,613605,BBIP1,92482,3,GO:0060271 | GO:0015031 | GO:0097500
OMIM,615996,?Bardet-Biedl syndrome 19,615870,IFT27,11020,6,GO:0001822 | GO:0007224 | GO:0035735 | GO:0090102 | GO:0060122 | GO:0007283
OMIM,617119,?Bardet-Biedl syndrome 20,608040,IFT74,80173,9,GO:1905515 | GO:0050680 | GO:0003334 | GO:0007368 | GO:0007507 | GO:0045944 | GO:0035735 | GO:0007219 | GO:0033630
OMIM,616278,"?Bile acid synthesis defect, congenital, 5",170995,ABCD3,5825,7,GO:0007031 | GO:0015910 | GO:0006633 | GO:0014070 | GO:0042493 | GO:0042760 | GO:0006635
OMIM,617595,?Birk-Landau-Perez syndrome,604604,SLC30A9,10463,5,GO:0045944 | GO:0098655 | GO:0006882 | GO:0006289 | GO:0006829
OMIM,615888,"?Bleeding disorder, platelet-type, 18",605577,RASGRP2,10235,4,GO:0043547 | GO:0007265 | GO:0001558 | GO:0071277
OMIM,616176,"?Bleeding disorder, platelet-type, 19",176893,PRKACG,5568,10,GO:0007283 | GO:0008584 | GO:0034199 | GO:0071377 | GO:0002223 | GO:0034380 | GO:0006468 | GO:0007596 | GO:0010737 | GO:0003091
OMIM,618462,"?Bleeding disorder, platelet-type, 22",600997,EPHB2,2048,35,GO:0070373 | GO:0042472 | GO:0048170 | GO:0007612 | GO:0048593 | GO:0106028 | GO:0060996 | GO:0051389 | GO:0099557 | GO:0001655 | GO:0018108 | GO:0021631 | GO:0021952 | GO:1904783 | GO:0048013 | GO:0050771 | GO:0097104 | GO:0007413 | GO:0001525 | GO:1904782 | GO:0060997 | GO:1903078 | GO:0030193 | GO:0051965 | GO:0007399 | GO:0046580 | GO:0031290 | GO:1900273 | GO:0060021 | GO:0007275 | GO:0010628 | GO:0022038 | GO:0033674 | GO:0071679 | GO:0031915
OMIM,618849,?Bone marrow failure syndrome 6,602704,MDM4,4194,17,GO:0043066 | GO:0050821 | GO:0008285 | GO:0071456 | GO:0003281 | GO:0003283 | GO:0071157 | GO:0000122 | GO:0003203 | GO:0042177 | GO:0065003 | GO:0030330 | GO:0006977 | GO:0003181 | GO:0003170 | GO:0016579 | GO:1901796
OMIM,610713,?Brachydactyly-syndactyly syndrome,142989,HOXD13,3239,15,GO:0009952 | GO:0030539 | GO:0001501 | GO:0048619 | GO:0042127 | GO:0006366 | GO:0045944 | GO:0060687 | GO:0060602 | GO:0007275 | GO:0033574 | GO:0006355 | GO:0060527 | GO:0042733 | GO:0060571
OMIM,616001,"?Breasts and/or nipples, aplasia or hypoplasia of, 2",179590,PTPRF,5792,7,GO:1900121 | GO:0007185 | GO:0099560 | GO:0016477 | GO:0035335 | GO:0048679 | GO:0031102
OMIM,613119,?Brugada syndrome 6,604433,KCNE3,10008,8,GO:1903765 | GO:1905025 | GO:1902260 | GO:1901387 | GO:0086091 | GO:0097623 | GO:0086005 | GO:0098915
OMIM,214800,CHARGE syndrome | ?CHARGE syndrome,608892 | 608166,SEMA3E | CHD7,55636 | 9723,52,GO:0008015 | GO:0001501 | GO:0030540 | GO:0009617 | GO:0040018 | GO:0021553 | GO:0042472 | GO:0060041 | GO:0071526 | GO:0006355 | GO:0021772 | GO:0001974 | GO:0060384 | GO:0002040 | GO:0007605 | GO:0045944 | GO:0060324 | GO:0050890 | GO:0008360 | GO:0001953 | GO:0032508 | GO:0001755 | GO:0003222 | GO:0003007 | GO:0006338 | GO:0010880 | GO:0035116 | GO:0060429 | GO:0006364 | GO:0007512 | GO:0050919 | GO:0030335 | GO:0043584 | GO:0048843 | GO:0036302 | GO:0050808 | GO:0001701 | GO:0060173 | GO:0035909 | GO:0060411 | GO:0062009 | GO:0016525 | GO:0048752 | GO:2000249 | GO:0007411 | GO:0042048 | GO:0007417 | GO:0007628 | GO:0060123 | GO:0001569 | GO:0003226 | GO:0030217
OMIM,607539,"?Camptosynpolydactyly, complex",615416,BHLHA9,727857,2,GO:0007275 | GO:0006357
OMIM,618373,"?Cancer, alopecia, pigment dyscrasia, onychodystrophy, and keratoderma",607955,SASH1,23328,9,GO:1902498 | GO:1901224 | GO:0031666 | GO:1900044 | GO:1900745 | GO:0010595 | GO:0000209 | GO:0045766 | GO:0043507
OMIM,613956,"?Candidiasis, familial, 6, autosomal dominant",606496,IL17F,112744,13,GO:2000778 | GO:0045076 | GO:0016525 | GO:0045944 | GO:0006954 | GO:0051216 | GO:0045408 | GO:1900017 | GO:0097400 | GO:0045414 | GO:0045423 | GO:0017015 | GO:0042109
OMIM,615527,"?Candidiasis, familial, 8",607043,TRAF3IP2,10758,6,GO:0048305 | GO:0006959 | GO:0043123 | GO:0001783 | GO:0035556 | GO:0002230
OMIM,604765,"?Cardiomyopathy, dilated, 1I",125660,DES,1674,4,GO:0045109 | GO:0008016 | GO:0030049 | GO:0006936
OMIM,605362,"?Cardiomyopathy, dilated, 1J",603550,EYA4,2070,10,GO:2001240 | GO:0045739 | GO:0006281 | GO:0007605 | GO:0016576 | GO:0009653 | GO:0030154 | GO:0007275 | GO:0035335 | GO:0007601
OMIM,607482,"?Cardiomyopathy, dilated, 1M",600824,CSRP3,8048,17,GO:0002026 | GO:0045214 | GO:0033292 | GO:0035995 | GO:0070528 | GO:0045944 | GO:0006954 | GO:1903076 | GO:0055003 | GO:0042593 | GO:0008286 | GO:0003300 | GO:0048738 | GO:0007519 | GO:0060048 | GO:0006874 | GO:0033365
OMIM,611880,"?Cardiomyopathy, dilated, 2A",191044,TNNI3,7137,12,GO:0001980 | GO:0060047 | GO:0032780 | GO:0007507 | GO:0001570 | GO:0006940 | GO:0010882 | GO:0055010 | GO:0030049 | GO:0060048 | GO:0006874 | GO:0003009
OMIM,614672,"?Cardiomyopathy, dilated, 2B",614518,GATAD1,57798,2,GO:0006338 | GO:0006355
OMIM,116400,?Cataract 41,606201,WFS1,7466,23,GO:0031398 | GO:0043433 | GO:1902236 | GO:0000122 | GO:1903892 | GO:0042593 | GO:2000675 | GO:0007601 | GO:0051928 | GO:0043524 | GO:0007605 | GO:0036498 | GO:0032469 | GO:0050821 | GO:0001822 | GO:0045927 | GO:0031016 | GO:0043687 | GO:0006983 | GO:0022417 | GO:0042048 | GO:0030433 | GO:0003091
OMIM,115900,?Cataract 42,600836,CRYBA2,1412,2,GO:0002088 | GO:0007601
OMIM,616279,?Cataract 43,611220,UNC45B,146862,4,GO:0030154 | GO:0002088 | GO:0007517 | GO:0061077
OMIM,616851,?Cataract 45,616655,SIPA1L3,23094,7,GO:0043547 | GO:0007010 | GO:0001654 | GO:0003382 | GO:0051056 | GO:0002244 | GO:0090162
OMIM,616007,"?Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia",612801,IARS2,55699,3,GO:0006428 | GO:0032543 | GO:0106074
OMIM,607864,?Caudal duplication anomaly,603816,AXIN1,8312,16,GO:0010800 | GO:0090090 | GO:0033146 | GO:0045893 | GO:2000060 | GO:0051443 | GO:1904885 | GO:0032147 | GO:0007275 | GO:0006915 | GO:1904886 | GO:0034622 | GO:0090263 | GO:0046330 | GO:0016055 | GO:0033138
OMIM,614807,?Centronuclear myopathy 4,614666,CCDC78,124093,3,GO:0030030 | GO:0098535 | GO:0003009
OMIM,615268,"?Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4",605870,ATP8A2,51761,17,GO:0061092 | GO:0050884 | GO:0007409 | GO:0010976 | GO:0008285 | GO:0040018 | GO:0010842 | GO:0050908 | GO:0042472 | GO:0043588 | GO:0003011 | GO:0048666 | GO:0060052 | GO:0042755 | GO:0010996 | GO:0007568 | GO:0140331
OMIM,603513,"?Cerebral palsy, spastic quadriplegic, 1",605363,GAD1,2571,8,GO:0006540 | GO:0035641 | GO:0018352 | GO:0009449 | GO:0042493 | GO:0007269 | GO:0007268 | GO:0035176
